type,title,country,release_year,rating,duration,Genre,Minutes,Seasons,Uploaded_Year,Uploaded_Month,Uploaded_Date
Movie,Dick Johnson Is Dead,United States,2020,PG-13,90 min,Documentaries,90,0,2021,9,25
TV Show,Blood & Water,South Africa,2021,TV-MA,2 Seasons,International TV Shows,0,2,2021,9,24
TV Show,Blood & Water,South Africa,2021,TV-MA,2 Seasons,TV Dramas,0,2,2021,9,24
TV Show,Blood & Water,South Africa,2021,TV-MA,2 Seasons,TV Mysteries,0,2,2021,9,24
TV Show,Ganglands,unknown,2021,TV-MA,1 Season,Crime TV Shows,0,1,2021,9,24
TV Show,Ganglands,unknown,2021,TV-MA,1 Season,International TV Shows,0,1,2021,9,24
TV Show,Ganglands,unknown,2021,TV-MA,1 Season,TV Action & Adventure,0,1,2021,9,24
TV Show,Jailbirds New Orleans,unknown,2021,TV-MA,1 Season,Docuseries,0,1,2021,9,24
TV Show,Jailbirds New Orleans,unknown,2021,TV-MA,1 Season,Reality TV,0,1,2021,9,24
TV Show,Kota Factory,India,2021,TV-MA,2 Seasons,International TV Shows,0,2,2021,9,24
TV Show,Kota Factory,India,2021,TV-MA,2 Seasons,Romantic TV Shows,0,2,2021,9,24
TV Show,Kota Factory,India,2021,TV-MA,2 Seasons,TV Comedies,0,2,2021,9,24
TV Show,Midnight Mass,unknown,2021,TV-MA,1 Season,TV Dramas,0,1,2021,9,24
TV Show,Midnight Mass,unknown,2021,TV-MA,1 Season,TV Horror,0,1,2021,9,24
TV Show,Midnight Mass,unknown,2021,TV-MA,1 Season,TV Mysteries,0,1,2021,9,24
Movie,My Little Pony: A New Generation,unknown,2021,PG,91 min,Children & Family Movies,91,0,2021,9,24
Movie,Sankofa,United States,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,Ghana,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,Burkina Faso,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,United Kingdom,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,Germany,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,Ethiopia,1993,TV-MA,125 min,Dramas,125,0,2021,9,24
Movie,Sankofa,United States,1993,TV-MA,125 min,Independent Movies,125,0,2021,9,24
Movie,Sankofa,Ghana,1993,TV-MA,125 min,Independent Movies,125,0,2021,9,24
Movie,Sankofa,Burkina Faso,1993,TV-MA,125 min,Independent Movies,125,0,2021,9,24
Movie,Sankofa,United Kingdom,1993,TV-MA,125 min,Independent Movies,125,0,2021,9,24
Movie,Sankofa,Germany,1993,TV-MA,125 min,Independent Movies,125,0,2021,9,24
